Species	1-99	100-336	337-547	548-704	705-897	898-1130	1131-1213	1214-1414	1415-1492	1493-1602	1603-1820	1821-1915	1916-2084	2085-2260	2261-2336	2337-2570	2571-2688	2689-2951	2952-3035	3036-3132	3133-3257	3258-3372	3373-3602	3603-3713	3714-3877	3878-4004	4005-4137	4138-4245	4246-4349	4350-4474	4475-4594	4595-4778	4779-4890	4891-5045	5046-5199	5200-5391	5392-5564	5565-5706	5707-5977	5978-6099	6100-6288	6289-6373	6374-6669	6670-6739	6740-6966	6967-7149	7150-7347	7348-7598	7599-7821	7822-7967	7968-8107	8108-8278	8279-8412	8413-8581	8582-8719	8720-8789	8790-8967	8968-9074	9075-9204	9205-9335	9336-9420	9421-9563	9564-9658	9659-9796	9797-9917
Anoplodactylus_eroticus	96	93	0	0	0	0	0	0	0	90	0	0	0	0	94	0	0	85	85	0	0	0	95	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	97	0	95	0	97	90	95	94	94	98	100	93	98	97	90	99	95	90	0	91	90	97	98	97	100
Carcinoscorpius_rotundicauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	79	0	17	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
Acanthoscurria_gomesiana	96	30	34	90	89	52	0	0	0	0	96	97	100	93	0	33	0	83	0	91	99	0	0	0	91	93	95	0	0	0	0	0	0	97	0	0	0	0	0	0	95	0	72	0	96	63	92	94	86	98	100	95	98	86	0	0	95	0	97	91	96	97	98	97	0
Boophilus_microplus	96	0	96	90	94	94	0	61	0	0	34	0	100	93	0	96	0	87	0	94	99	0	95	91	98	0	95	0	99	91	100	96	86	0	97	91	99	0	95	98	97	98	0	99	97	90	95	99	0	98	100	0	98	97	90	99	95	90	97	91	0	97	98	0	100
Flaccisagitta_enflata	67	0	0	0	0	0	97	0	0	90	0	0	0	0	0	0	0	58	100	0	0	0	66	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	86	0	47	0	50	55	43	43	0	96	92	95	95	38	87	0	75	90	0	0	96	97	98	97	61
Spadella_cephaloptera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	95	0	0	0	95	0	94	91	100	95	98	0	90	73	95	90	97	79	95	97	98	97	0
Bugula_neritina	0	87	52	0	0	0	97	0	100	0	0	97	0	0	95	0	96	0	99	94	0	0	0	0	0	0	0	0	98	0	0	0	86	96	79	0	0	94	81	98	96	0	95	99	97	99	95	99	96	96	93	93	98	97	89	99	95	90	97	91	96	97	98	95	91
Cristatella_mucedo	0	0	63	0	94	0	0	98	100	0	96	0	0	0	94	0	96	0	0	0	0	83	0	100	98	0	95	96	0	0	0	0	0	99	0	0	0	96	0	0	91	89	95	0	97	99	95	95	94	97	91	40	98	97	86	83	95	90	97	90	96	97	98	97	0
Turbanella_ambronensis	0	0	0	90	0	0	0	0	100	0	0	97	0	0	93	0	96	0	93	0	0	0	0	0	0	93	0	0	80	0	100	0	0	0	0	0	0	0	0	0	90	98	0	99	0	0	95	0	60	98	99	93	98	0	86	100	95	90	97	90	0	91	98	97	0
Paraplanocera_sp	0	87	0	81	91	0	0	0	100	0	0	57	0	93	94	0	0	0	0	0	100	91	0	0	0	95	0	0	0	92	100	0	85	97	0	86	0	96	0	98	96	0	93	0	97	99	0	99	94	0	100	94	98	97	90	60	85	90	97	97	85	86	98	97	96
Macrostomum_lignano	96	0	73	0	0	65	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	99	0	0	81	58	49	0	100	64	98	97	90	0	95	90	94	75	0	46	90	97	0
Echinococcus_granulosus	89	0	100	0	64	0	92	97	0	0	99	97	0	63	0	0	0	0	0	0	100	0	0	100	0	0	0	0	90	92	100	96	86	97	0	0	0	93	54	0	96	0	95	0	65	99	91	86	97	98	100	96	98	0	89	100	92	90	97	88	96	97	98	96	100
Dugesia_japonica	0	70	34	90	0	55	0	75	0	90	70	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	62	0	0	0	74	44	0	80	0	0	0	96	96	0	99	88	0	72	90	98	0	0	99	80	0	0	83	76	97	0	93	95
Schmidtea_mediterranea	96	92	97	90	94	94	0	99	100	90	0	97	99	95	0	99	96	88	0	0	100	91	94	100	98	95	0	0	93	92	100	96	86	97	97	91	100	84	94	98	96	85	95	99	97	99	94	99	93	98	100	93	98	96	89	99	95	89	97	87	96	97	98	95	100
Brachionus_plicatilis	92	93	0	90	92	0	98	0	100	89	0	96	0	0	0	0	0	0	0	84	0	0	97	99	96	95	96	0	99	0	100	83	0	0	0	91	40	0	88	0	96	0	41	0	67	87	95	99	93	98	100	93	98	97	88	99	0	90	97	90	0	97	98	96	0
Philodina_roseola	91	0	0	0	95	94	0	0	100	89	0	96	0	0	0	0	0	88	0	94	0	0	0	95	0	0	99	99	100	99	100	0	83	0	0	57	0	0	0	98	97	99	95	99	97	0	95	99	94	79	100	93	98	0	90	0	95	90	0	91	96	0	98	98	0
Myzostoma_seymourcollegiorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	78	0	62	0	90	89	88	98	100	91	93	97	90	99	90	92	97	91	98	97	97	97	0
Gnathostomula_peregrina	0	93	0	74	0	0	97	0	0	90	0	0	89	96	95	0	0	89	100	94	0	0	0	0	0	0	0	96	99	0	100	96	0	0	0	0	40	0	23	98	99	0	0	0	97	0	96	0	0	100	93	93	98	98	90	80	95	91	97	90	89	100	98	96	0
Neochildia_fusca	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	54	0	73	0	0	0	92	0	0	0	40	95	0	0	40	0	0	0	0	0	100
Symsagittifera_roscoffensis	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	35	0	39	0	0	65	43	35	0	0	0	0	55	46	65	57	0	49
Pedicellina_cernua	0	0	0	0	0	93	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	97	0	0	0	0	96	0	93	98	97	0	99	0	90	0	91	96	0	98	0	66
Chaetopleura_apiculata	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	94	0	95	66	0	98	100	93	98	97	90	99	95	90	97	0	78	97	98	97	0
Euprymna_scolopes	0	55	71	0	0	82	0	25	0	70	0	97	87	86	94	42	0	67	0	0	99	0	0	100	76	0	90	0	0	92	0	0	69	62	0	0	65	0	65	98	83	98	90	0	97	99	92	98	94	99	100	93	0	74	0	85	95	0	97	65	0	87	98	0	100
Chaetoderma_nitidulum	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	94	99	96	99	93	98	100	84	97	97	90	82	95	90	97	91	96	97	98	98	0
Aplysia_californica	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	90	0	91	0	0	0	59	97	0	0	0
Biomphalaria_glabrata	0	0	12	0	0	0	0	0	0	0	0	73	0	0	0	18	0	47	0	0	0	91	22	100	0	79	0	0	0	52	0	0	0	0	0	0	42	0	0	77	97	0	0	0	35	86	95	65	82	98	56	75	99	0	88	99	0	87	97	91	0	63	98	98	100
Mytilus_galloprovincialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	94	0	0	47	0	0	99	0	96	0	0	0	0	0	0	0	0	0	0	66	98	95	0	12	0	97	0	0	98	95	98	100	93	96	69	90	99	95	90	0	0	62	97	98	98	53
Argopecten_irradians	0	0	68	0	0	0	0	0	0	0	0	96	0	0	0	68	0	0	0	0	71	48	0	0	0	0	0	68	0	0	0	0	0	0	57	0	0	0	0	0	92	0	50	0	97	99	95	99	95	98	100	93	98	97	90	99	88	90	97	89	96	97	98	97	0
Crassostrea_virginica	90	76	0	0	61	91	0	65	0	90	0	86	0	0	0	58	0	0	61	0	0	0	0	0	0	0	91	0	98	92	0	0	0	62	0	30	0	0	91	96	54	0	95	0	97	99	95	82	95	98	100	83	98	97	90	99	95	0	97	90	0	94	98	98	96
Phoronis_vancouverensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	86	0	88	94	0	0	84	40	0	90	0	0	90	66	91	0	97	98	89	24
Terebratalia_transversa	92	0	0	0	94	0	0	0	0	0	97	0	100	93	0	0	96	78	100	94	0	0	95	0	98	0	95	0	0	92	0	96	86	0	0	0	62	94	0	86	96	98	86	99	0	99	95	99	94	98	100	93	98	97	0	99	89	90	97	90	96	97	98	97	0
Carinoma_mutabilis	93	93	0	0	0	91	0	0	0	0	0	0	0	0	94	0	0	0	100	94	0	0	0	0	0	0	95	0	98	0	0	95	0	0	0	0	0	0	0	0	96	0	95	0	97	87	85	99	90	98	91	93	98	97	90	83	88	90	0	91	96	97	97	0	0
Cerebratulus_lacteus	0	0	0	0	0	0	98	0	100	0	0	0	0	54	0	89	0	0	0	94	0	0	0	0	0	95	0	0	0	0	96	0	0	0	0	0	0	0	0	0	96	0	92	0	95	0	95	99	94	98	100	93	98	97	90	99	41	90	97	91	96	97	97	97	81
Chaetopterus_sp	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	84	95	96	99	0	100	0	0	0	0	0	0	0	95	0	97	0	90	99	97	99	0	99	94	98	100	93	0	97	90	99	95	90	97	91	96	97	98	98	70
Themiste_lageniformis	0	0	0	0	94	0	98	0	0	0	82	0	99	0	94	0	96	0	100	94	0	0	0	0	0	0	94	0	98	92	0	0	57	0	97	0	0	0	0	98	0	0	0	99	97	87	86	99	80	98	100	91	98	96	90	0	95	90	97	91	96	97	98	0	24
Platynereis_dumerilii	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	48	97	0	0	0	0	98	0	0	95	0	97	87	0	99	94	0	0	0	0	0	0	99	95	90	0	91	0	0	98	0	0
Urechis_caupo	92	0	0	90	94	0	0	0	100	89	97	0	0	0	0	98	0	0	100	0	0	91	95	0	0	0	0	0	0	0	0	0	86	0	0	91	0	0	0	0	97	0	90	0	97	88	95	99	0	98	100	93	98	97	90	63	89	91	97	90	96	97	98	97	0
Capitella_sp	92	89	96	88	94	92	98	98	0	89	96	97	100	78	94	98	0	27	100	0	98	0	95	100	99	95	95	96	0	0	100	96	86	0	97	0	70	94	93	98	97	98	0	0	0	0	95	99	0	79	100	93	98	97	90	99	55	79	97	0	96	97	98	0	48
Lumbricus_rubellus	92	75	79	90	0	92	98	0	100	89	97	0	100	0	0	83	96	0	100	94	99	47	0	91	0	93	95	0	0	0	0	0	0	43	0	0	68	0	74	100	97	0	95	99	97	99	95	99	0	98	0	0	0	0	90	0	95	91	97	91	48	97	98	97	0
Haementeria_depressa	70	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	84	0	28	0	61	0	50	0	0	98	100	71	97	93	90	0	0	0	0	0	0	0	0	48	34
