Species	1-236	237-996	997-1383	1384-2117	2118-2720	2721-3448	3449-3967	3968-4143	4144-4224	4225-4439	4440-4908	4909-4983	4984-5064	5065-5367	5368-5504	5505-5636	5637-5802	5803-5993	5994-6230	6231-6378	6379-6677	6678-6869	6870-7040	7041-7296	7297-7602	7603-7730	7731-7946	7947-8285	8286-8619	8620-9188	9189-9380	9381-9502	9503-9915	9916-10071	10072-10125	10126-10228	10229-10732	10733-10985	10986-11122	11123-11204	11205-11364	11365-11489	11490-11616	11617-11712	11713-11935	11936-12207	12208-12363	12364-12491	12492-12636	12637-12957	12958-13316	13317-13576	13577-13878	13879-14112	14113-14692	14693-14824	14825-15134	15135-15303	15304-15617	15618-15792	15793-15877	15878-16256	16257-16466	16467-16878	16879-17058	17059-17241	17242-17752	17753-17992	17993-18123	18124-18344	18345-18615	18616-18852	18853-19160	19161-19655	19656-20250	20251-20970	20971-21778	21779-22081	22082-22359	22360-22705	22706-22850	22851-23112	23113-23433	23434-23633	23634-23926	23927-24085	24086-24420	24421-24607	24608-24743	24744-24930	24931-25226	25227-25388	25389-25674	25675-25960	25961-26186	26187-26583	26584-26812	26813-26988	26989-27295	27296-27596	27597-27873	27874-28171	28172-28424	28425-28759	28760-29106	29107-29752	29753-30003	30004-30642	30643-30998	30999-31210	31211-31649	31650-32303	32304-32855	32856-33572	33573-34287	34288-34827	34828-34955	34956-35231	35232-35326	35327-35625	35626-35842	35843-36005	36006-36189	36190-36312	36313-36756	36757-36922	36923-37065	37066-37281	37282-37517	37518-37694	37695-37846	37847-38149	38150-38265	38266-38462	38463-38646	38647-38760	38761-38862	38863-39014	39015-39779	39780-39957	39958-40179	40180-40337	40338-40576	40577-40745	40746-40909	40910-41216	41217-41541	41542-41683	41684-42045	42046-42486	42487-42781	42782-42953	42954-43182	43183-43414	43415-43683	43684-44096	44097-44616	44617-45496	45497-46020	46021-46163	46164-46225	46226-46316	46317-46511	46512-46623	46624-46723	46724-47030	47031-47320	47321-47508	47509-47668	47669-47865	47866-48098	48099-48227	48228-48439	48440-48722	48723-49003	49004-49388	49389-49897	49898-50284	50285-50757	50758-51102	51103-51645	51646-52221	52222-52566	52567-52649	52650-52840	52841-52908	52909-53131	53132-53261	53262-53422	53423-53591	53592-53722	53723-54161	54162-54266	54267-54649	54650-54950	54951-55089	55090-55270	55271-55403	55404-55609	55610-55880	55881-56213	56214-56335	56336-56516	56517-56701	56702-56882	56883-56977	56978-57230	57231-57791	57792-58948	58949-59733
Euplokamis_dunlapae	100	100	59	100	0	0	0	86	98	60	0	98	0	20	92	100	99	98	0	97	46	0	62	21	100	100	98	0	95	45	100	0	19	100	100	100	11	62	69	0	32	100	0	100	100	24	0	74	64	42	25	31	0	32	0	97	79	77	0	27	97	49	0	0	99	45	100	89	66	0	0	100	80	0	100	9	12	22	26	93	0	76	0	40	75	73	13	98	56	0	0	100	49	0	97	0	100	75	0	0	0	0	85	100	0	0	35	94	98	100	0	0	31	35	0	20	98	0	51	36	97	83	100	99	0	100	100	0	0	95	0	40	0	36	99	100	100	100	17	97	0	86	0	34	0	64	0	100	0	0	22	100	66	100	0	28	98	0	0	0	0	0	64	100	100	0	0	0	100	0	0	100	100	0	96	0	12	100	22	0	0	21	37	0	0	99	46	66	0	100	0	99	99	68	0	100	100	46	46	82	0	100	0	0	91	97	0	0	0	0
Coeloplana_astericola	100	100	0	0	10	0	99	0	98	94	0	0	0	29	77	100	0	95	0	0	0	28	86	65	0	76	88	0	0	0	53	0	96	100	100	0	0	24	0	85	100	0	93	100	0	0	0	85	100	0	0	0	99	98	0	97	0	66	74	0	97	69	100	0	0	0	0	100	0	99	94	100	100	0	65	0	0	72	0	95	38	60	31	0	0	78	0	83	0	88	0	100	92	92	0	0	100	72	0	90	0	0	100	90	96	0	0	0	0	100	87	0	11	59	0	88	72	0	0	100	0	83	0	76	0	99	0	100	0	94	49	98	0	97	66	100	0	84	29	97	38	87	0	0	73	100	0	82	93	96	31	0	0	0	41	100	91	16	0	0	99	0	0	56	0	0	84	0	82	0	0	100	100	15	0	35	0	0	100	66	0	37	0	0	100	0	96	54	92	100	54	11	99	0	95	98	92	0	47	97	51	100	100	0	60	0	0	0	0	0
Vallicula_sp	92	97	0	30	41	0	17	0	0	76	96	0	0	15	97	100	91	77	99	0	78	0	95	0	0	100	98	0	0	0	100	89	96	100	0	100	19	0	99	0	100	0	0	100	0	52	0	65	98	58	0	0	89	99	20	97	70	64	76	42	0	55	90	60	89	40	0	89	0	95	0	95	65	0	44	0	0	73	15	27	56	0	0	0	0	73	0	81	95	95	0	59	0	0	62	33	91	88	0	0	0	0	84	99	76	13	93	74	100	100	87	0	0	21	0	0	88	40	96	96	31	0	0	82	93	100	0	80	100	95	100	100	0	87	63	100	100	100	0	0	96	71	0	0	70	71	0	81	54	45	92	0	0	94	75	95	21	95	0	94	99	0	84	99	99	100	69	0	40	0	0	100	100	0	0	28	20	95	94	0	0	91	0	0	0	0	96	0	39	70	0	80	0	66	0	88	100	0	98	97	32	100	0	0	94	64	90	93	0	11
Pleurobrachia_bachei	0	35	100	99	0	23	93	0	0	100	0	0	0	100	61	0	63	98	100	99	0	87	78	78	64	100	0	0	96	0	93	0	77	100	100	100	0	99	0	0	54	0	84	68	0	52	0	97	100	75	85	0	96	98	82	97	0	52	100	91	0	0	77	82	100	100	0	0	87	92	0	96	91	34	93	0	31	100	97	98	0	64	75	87	0	100	100	93	0	92	0	100	67	0	0	0	0	0	18	80	0	0	100	39	0	0	67	70	0	100	91	73	98	0	39	55	98	0	0	0	0	54	0	0	25	100	0	42	0	0	81	50	0	68	0	100	0	68	95	95	0	100	0	0	99	100	0	0	0	25	94	54	0	0	100	0	0	0	0	61	0	0	97	0	99	75	100	88	99	99	0	94	0	0	0	100	0	92	100	0	64	74	0	81	100	0	0	100	0	0	0	72	100	28	97	0	0	97	0	96	0	67	93	0	0	72	0	14	70	66
Pleurobrachia_atlantica	100	68	100	99	20	100	100	90	98	100	30	98	0	100	68	100	99	98	79	99	99	30	88	23	100	87	98	0	96	100	100	89	98	100	100	100	100	100	48	100	99	100	0	100	100	99	0	100	100	100	92	100	96	99	91	91	68	0	98	98	97	99	95	96	95	100	0	53	0	96	100	94	69	48	100	0	94	100	95	98	97	100	20	89	89	100	19	91	100	97	0	100	67	78	100	99	100	94	89	90	0	47	100	100	15	100	97	0	89	98	31	53	98	96	100	45	98	81	97	72	97	99	100	99	13	77	98	69	42	94	81	99	0	90	0	100	63	100	61	97	36	100	0	0	99	100	0	99	100	69	48	87	100	100	66	94	98	22	92	63	99	0	59	85	99	100	0	96	97	80	0	100	66	99	51	0	0	100	62	0	9	11	0	80	75	0	99	0	97	100	100	30	99	35	99	98	87	94	100	96	81	100	100	0	82	97	0	93	92	0
Dryodora_glandiformis	100	99	99	99	91	25	36	74	98	100	0	95	0	97	100	100	99	98	41	99	89	0	0	99	100	100	98	0	91	100	100	0	0	100	100	100	0	0	0	0	100	95	100	100	0	0	0	0	100	100	0	100	98	0	98	97	99	67	93	0	97	84	62	96	100	43	0	100	0	29	0	100	44	14	100	0	27	100	0	94	100	95	0	0	94	100	36	99	100	97	0	44	0	0	97	100	100	100	100	98	0	0	100	0	90	100	97	96	95	100	99	11	0	62	80	100	100	41	57	99	92	0	90	99	25	100	98	99	0	90	100	0	73	98	91	100	84	100	88	92	0	87	0	0	99	94	55	92	86	0	63	100	87	100	97	25	11	61	12	0	99	0	93	99	99	100	66	0	0	0	0	100	95	42	0	100	0	100	0	0	0	100	0	0	100	0	99	69	41	100	0	95	100	0	0	80	100	100	0	38	0	100	81	0	97	0	0	100	0	59
Beroe_abyssicola	100	100	100	99	0	57	87	93	98	85	0	0	0	15	96	91	99	98	100	99	79	0	96	100	0	100	98	0	96	0	78	89	50	100	100	100	100	100	40	100	100	0	100	100	0	89	0	59	100	65	0	97	94	96	19	97	99	98	93	85	100	74	100	59	100	92	0	100	52	93	83	100	100	24	100	0	0	100	98	94	100	100	79	100	90	100	100	99	100	98	0	100	100	87	100	100	100	96	99	34	0	0	100	100	96	99	53	100	97	100	99	100	17	100	95	100	0	67	0	0	0	99	47	99	100	100	98	83	24	89	100	56	100	95	73	100	94	100	0	100	0	95	99	100	99	99	0	100	100	96	94	100	100	100	100	100	98	61	99	44	60	96	98	99	99	100	100	100	0	95	0	100	96	0	0	0	11	100	100	40	0	98	0	0	0	0	99	94	55	100	47	79	100	18	94	99	100	100	100	98	87	60	100	0	93	97	97	100	75	0
Mnemiopsis_leidyi	78	36	36	99	0	100	0	0	0	85	0	0	0	0	100	92	58	98	100	99	90	91	62	0	81	62	0	0	96	0	43	70	81	100	100	100	100	82	100	0	0	65	100	100	0	82	0	0	92	53	58	0	69	89	100	62	60	64	0	0	97	69	81	17	100	0	0	86	0	100	86	68	0	63	47	0	25	0	0	99	83	45	20	89	62	100	0	99	100	49	0	42	0	0	73	18	75	43	88	56	0	0	100	58	96	0	91	75	98	100	15	78	98	45	71	21	50	61	95	61	79	91	98	99	11	100	47	84	58	95	0	98	84	39	0	100	100	100	11	97	86	92	52	0	93	90	44	88	100	46	94	87	100	0	100	56	35	18	0	98	0	0	0	99	99	0	98	0	100	90	0	100	79	0	88	94	86	100	100	0	0	15	0	0	75	99	88	100	0	0	0	80	100	92	93	0	100	64	42	60	89	0	0	0	97	97	0	28	79	14
Bolinopsis_infundibulum	0	0	97	98	0	13	16	0	98	91	0	99	0	0	0	100	99	62	37	92	52	0	0	23	0	68	66	0	18	76	78	0	0	100	100	100	0	84	79	100	100	55	0	100	0	0	0	0	100	43	0	0	0	89	100	0	35	0	0	0	100	0	86	19	100	85	0	0	28	0	54	87	67	31	48	0	27	57	0	0	0	0	0	61	0	0	0	0	100	98	0	100	77	26	81	0	75	54	30	0	0	0	99	0	0	0	72	0	75	100	0	0	0	53	0	0	0	0	0	0	0	0	0	87	100	100	50	53	0	94	53	0	96	98	57	100	0	100	0	100	0	73	0	0	94	0	0	99	100	0	42	100	62	62	100	0	0	61	17	96	99	0	0	0	99	0	0	0	100	26	0	100	95	0	23	65	0	100	34	0	0	26	0	0	0	99	0	96	30	100	65	34	100	19	0	0	100	80	0	0	0	58	67	0	40	97	0	13	54	0
Mertensiidae_sp	63	77	0	97	0	0	98	0	0	61	0	0	0	92	0	100	99	84	35	92	38	0	0	0	0	86	86	0	0	89	49	0	0	100	0	100	0	80	60	0	100	0	73	100	0	0	0	100	100	0	0	0	83	99	47	88	50	0	80	0	0	20	0	0	100	92	0	68	0	96	57	91	100	0	38	0	27	63	0	58	76	0	0	0	0	100	0	0	100	0	0	52	100	0	75	0	65	0	0	100	0	0	100	0	98	0	0	83	97	100	36	0	0	35	0	0	98	67	0	100	53	0	77	99	0	91	90	87	0	94	97	0	100	94	37	88	0	95	0	98	66	69	25	0	93	100	0	82	0	43	30	100	0	75	0	36	0	62	19	84	99	72	0	93	99	41	100	0	100	0	0	100	100	0	0	0	0	95	37	0	0	0	0	0	54	0	0	80	97	44	53	0	0	51	89	0	60	0	0	54	0	100	0	0	84	97	0	94	0	0
