Species	1-467	468-1823	1824-2289	2290-3179	3180-3371	3372-3914	3915-6858	6859-7002	7003-7238	7239-7377	7378-7866	7867-8106	8107-8469	8470-8640	8641-8923	8924-9066	9067-9228	9229-9819	9820-10584	10585-10916	10917-11200	11201-11396	11397-11615	11616-12722	12723-13184	13185-13559	13560-14000	14001-14602	14603-14744
Thermofilum_pendens	90	91	98	67	94	100	12	100	86	95	97	93	81	88	88	98	100	94	96	100	74	98	92	97	94	80	98	99	100
Caldivirga_maquilingensis	92	90	98	66	100	100	12	92	100	100	97	90	83	93	88	98	97	93	95	99	74	98	91	97	97	80	99	100	100
Pyrobaculum_aerophilum	92	91	94	66	94	100	12	93	82	99	96	93	80	95	87	98	98	93	95	99	73	98	91	97	95	81	99	98	100
Sulfolobus_solfataricus	92	91	97	67	95	100	12	92	96	100	95	91	82	88	85	97	100	94	96	73	73	97	95	97	96	95	98	99	100
Staphylothermus_marinus	90	91	100	67	98	100	12	93	95	98	96	90	83	88	85	98	99	94	96	99	73	98	94	97	96	79	98	99	100
Ignicoccus_hospitalis	94	91	95	67	100	99	12	91	98	100	96	95	81	87	89	96	99	94	96	99	73	98	95	97	96	89	99	100	100
Aeropyrum_pernix	90	91	97	68	99	100	12	91	97	100	96	89	77	90	85	98	0	91	96	99	73	68	96	97	95	83	98	99	100
Hyperthermus_butylicus	95	91	95	67	100	100	17	93	96	100	97	91	83	93	85	97	99	95	96	100	73	98	94	97	97	81	99	100	100
Methanopyrus_kandleri	93	63	96	67	97	100	0	96	96	97	97	90	80	91	86	93	99	95	95	99	72	98	99	54	97	91	95	99	100
Methanothermobacter_thermautotro	94	89	97	66	88	99	11	91	96	0	96	94	81	86	86	93	99	94	95	99	70	95	97	97	97	96	94	99	98
Methanococcus_jannaschii	94	96	94	99	93	100	63	90	89	97	96	96	81	81	86	93	99	93	94	98	79	97	98	97	98	99	98	99	100
Pyrococcus_furiosus	94	91	99	100	97	100	29	96	89	96	95	90	81	83	85	98	99	96	95	98	72	98	100	97	97	85	96	98	100
Methanomassiliicoccus_luminyensis	94	67	100	65	89	100	0	89	96	96	95	0	81	82	82	0	98	94	95	0	72	95	0	97	97	89	97	98	99
Thermoplasma_volcanium	92	90	100	66	89	99	11	92	96	95	95	91	80	80	83	93	97	93	95	99	71	95	100	96	97	76	96	98	99
Archaeoglobus_fulgidus	93	89	98	66	93	100	11	93	96	98	95	90	80	90	84	93	97	93	95	97	70	98	90	96	94	90	96	98	100
Haloarcula_marismortui	93	66	98	67	93	97	0	90	96	95	96	89	82	84	85	93	97	95	95	98	70	97	96	53	99	99	96	99	99
Methanosarcina_mazei	95	91	97	66	89	100	12	88	96	97	98	89	82	89	85	98	97	95	95	99	70	97	95	95	96	98	96	98	99
DUSEL3	0	62	96	66	89	100	0	0	96	99	94	92	82	84	85	93	97	92	95	99	83	98	96	53	97	98	96	99	98
Parvarchaeum_acidophilus	0	8	95	64	88	69	0	89	93	95	94	89	82	81	82	98	0	82	65	77	70	97	96	0	23	98	50	0	100
Micrarchaeum_acidiphilum	92	62	96	66	93	100	0	100	88	100	95	87	85	93	84	93	96	95	95	0	0	97	95	53	94	97	97	37	99
Ar5	92	0	96	0	86	100	0	91	96	99	0	88	81	75	81	93	96	91	0	0	69	0	98	0	94	98	0	0	0
Nanosalina	93	60	59	37	89	98	0	89	0	98	94	43	81	83	0	0	99	93	70	90	73	0	93	52	1	0	96	98	98
Nanosalinarum	93	60	90	64	87	99	0	89	100	97	94	22	81	75	84	93	75	69	95	97	73	98	90	0	93	79	96	98	98
Nanoarchaeum	87	62	96	64	88	100	0	90	98	96	85	88	78	0	84	93	99	92	95	95	71	96	99	53	1	0	97	96	100
Ar13	0	83	96	61	0	99	0	98	93	49	0	93	80	77	83	93	97	68	93	0	71	97	45	95	65	99	97	0	98
Ar6	0	83	93	0	96	99	0	100	96	99	0	87	0	81	69	0	96	0	94	0	0	94	90	96	98	90	0	0	98
Ar15	0	63	98	66	89	0	0	100	96	97	95	90	81	0	83	93	99	95	95	99	70	96	100	52	98	98	97	97	100
DUSEL4	93	0	98	97	87	99	0	91	96	99	0	92	80	81	86	0	99	90	94	98	70	94	100	0	96	97	97	94	100
