Species	1-170	171-514	515-1041	1042-1379	1380-1731	1732-2018	2019-2455	2456-2830	2831-3241	3242-3722	3723-4121	4122-4548	4549-5329	5330-5539	5540-6049	6050-6495	6496-6917	6918-7272	7273-7364	7365-8114	8115-8351	8352-8476	8477-8600	8601-8818	8819-9182	9183-9571	9572-9970	9971-10367	10368-11124	11125-11303	11304-11485	11486-11705	11706-11925	11926-12163	12164-12389	12390-12634	12635-12822	12823-13026	13027-13214	13215-13461	13462-13665	13666-13870	13871-14073	14074-14126	14127-14419	14420-14627	14628-14796	14797-14959	14960-15140	15141-15263	15264-15467	15468-15662	15663-15829	15830-16014	16015-16200	16201-16450	16451-16626	16627-16785	16786-16884	16885-17019	17020-17167	17168-17307	17308-17411	17412-17803	17804-17908	17909-18018	18019-18149	18150-18258	18259-18364	18365-18478	18479-18573	18574-18624	18625-18714	18715-19068	19069-19262	19263-19491	19492-19672	19673-20173	20174-20299	20300-20448	20449-20598	20599-20737	20738-20815	20816-20952	20953-21071	21072-21197	21198-21309	21310-21536	21537-21642	21643-21772	21773-21915	21916-22037	22038-22111	22112-22196	22197-22279	22280-22432	22433-22483	22484-22702	22703-22959	22960-23149	23150-23364	23365-23557	23558-23755	23756-23925	23926-24351	24352-24564	24565-24975	24976-25227	25228-25518	25519-25653	25654-25917	25918-26193	26194-26335	26336-26549	26550-26752	26753-26848	26849-26918	26919-27004	27005-27119	27120-27364	27365-27449	27450-27597	27598-27710	27711-27820	27821-27947	27948-28151	28152-28269	28270-28395	28396-28582	28583-28682	28683-28765	28766-28882	28883-29180	29181-29288	29289-29461	29462-29730	29731-29960	29961-30145	30146-30237	30238-30393	30394-30591	30592-30755	30756-30892	30893-30978	30979-31038	31039-31337	31338-31451	31452-31610	31611-31711	31712-31862	31863-31939	31940-32060	32061-32277	32278-32374	32375-32491	32492-32602	32603-32813	32814-32961	32962-33050	33051-33173	33174-33249	33250-33420	33421-33592	33593-33848	33849-34018	34019-34136	34137-34249	34250-34451	34452-34648	34649-34725	34726-34828	34829-34927	34928-35155	35156-35326	35327-35429	35430-35632	35633-35896	35897-36155
Neotrigonia	100	100	100	69	100	100	100	100	62	88	100	100	100	98	88	74	100	100	100	100	58	100	100	100	100	45	100	100	100	100	100	100	100	71	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	100	100	99	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	76	100	100	100	100	100	100	100	100	100	100	100	100	100	100	44	100	100	98	100	100	100	100	100	99	0	100	100	0	0	100	100	100	100	100	0	100	0	100	100	100	0	100	100	100	100	100	98	100	100	94	100	100	100	100	100	100	100	100	99	100	100	100	100	100	69	100	100	100	100	100	100	100	57	100	100	88	100	100	100	100	100	100	83	100	100	0
Astarte	100	52	100	56	65	43	77	96	47	56	0	61	100	100	0	0	100	0	100	100	0	100	100	100	67	100	100	100	0	100	100	100	95	57	100	100	0	56	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	79	100	100	0	100	100	100	100	100	100	100	100	99	100	100	0	41	100	0	44	0	100	100	61	99	0	98	100	0	0	98	0	100	0	100	0	100	0	100	100	100	80	0	100	100	100	100	100	0	100	100	100	99	97	100	100	100	100	97	0	100	100	76	0	100	94	100	100	100	100	100	0	90	0	100	100	100	100	0	0	100	99	100	0	99	100	0
Myochama	70	100	100	0	49	84	50	100	62	36	38	45	100	100	0	0	100	90	100	100	32	100	100	100	0	73	58	46	0	100	61	100	36	0	58	36	0	62	69	48	100	80	100	0	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	92	100	100	100	100	100	100	100	100	99	0	100	100	100	100	100	100	100	0	0	100	98	100	0	100	100	100	100	100	100	100	100	100	0	0	100	100	100	100	100	100	100	100	100	98	13	100	100	100	49	68	100	100	69	0	0	0	90	0	0	0	100	100	38	100	0	100	0	99	98	100	100	100	100	100	41	100	0	0	100	40	100	100	87	67	100	100	100	86	99	0	37	82	0	100	50	100	100	100	100	100	71	100	0	100	100	100	42	99	0	100	100	86	0	100	100	0
Crassostrea_gigas	100	90	98	87	39	26	69	7	43	77	27	46	86	100	100	84	100	19	100	52	88	95	100	100	100	46	100	99	93	100	91	25	86	100	78	100	71	95	100	94	96	100	44	0	27	100	0	100	100	0	100	100	100	0	100	0	100	100	0	0	100	100	100	100	100	100	100	100	100	0	100	97	99	100	100	100	100	92	100	0	100	100	100	100	100	0	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	60	100	100	100	100	100	61	0	100	49	0	100	98	0	96	29	0	100	0	0	0	100	100	100	0	0	100	0	0	0	100	0	0	100	87	0	100	100	0	100	100	100	0	100	65	100	100	100	100	0	100	0	100	98	100	100	97	99	100	100	95	100	93	0	100	100	0	100	0	100	97	83	100	62	0	69	0
Mytilus_californianus	99	100	93	62	85	43	38	99	33	100	54	50	100	100	40	0	100	0	0	90	100	0	100	50	100	100	100	100	50	0	100	0	0	100	100	100	100	100	100	0	96	82	100	100	83	83	100	0	100	100	100	100	100	100	100	67	100	100	0	100	0	100	0	0	98	0	71	0	0	99	0	100	0	86	0	100	91	100	47	0	100	100	100	0	100	0	100	100	0	0	100	0	100	0	96	81	0	100	100	0	100	99	100	0	0	96	0	87	100	98	0	100	100	100	100	0	0	0	100	0	0	0	100	0	99	0	0	100	0	76	0	0	73	0	100	0	0	0	0	88	100	0	96	0	100	0	100	100	0	100	0	100	100	100	0	0	0	0	99	100	0	0	46	100	0	100	100	96	100	100	100	100	100	100	100	0	100	0
Mytilus_galloprovincialis	99	91	74	62	41	26	90	30	41	100	62	46	71	100	4	0	100	48	0	30	100	95	0	100	64	57	100	100	50	0	69	98	95	99	100	91	100	100	100	100	96	100	100	0	83	100	0	100	100	100	100	100	100	0	100	0	100	100	0	100	100	0	100	100	100	100	100	100	99	0	75	100	0	100	100	100	100	100	100	0	100	100	100	100	100	0	100	100	0	100	100	98	100	100	99	100	100	100	100	0	100	100	100	100	76	100	47	87	0	98	0	72	100	67	100	99	0	0	100	0	0	97	100	0	99	0	0	100	0	100	0	100	0	100	100	100	0	100	100	0	0	100	96	0	100	60	100	100	86	100	0	100	100	100	0	100	0	100	99	100	100	0	46	47	0	100	100	96	100	0	100	100	100	100	100	0	99	0
Gadila	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	0	100	100	100	100	100	100	100	0	0	100	100	0	100	100	100	0	98	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	78	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	95	100	100	100	0	0	100	0	98	100	0	0	100	100	100	100	97	100	87	100	100	100	100	100	100	100	100	99	96	0	100	73	100	100	100	100	100	0	100	98	97	100	100	99	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	0
Nautilus_pompilius	0	0	0	0	0	0	0	0	0	0	0	0	100	100	53	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	68	0	0	0	0	89	0	0	0	0	0	0	0	100	0	0	83	0	0	0	0	0	0	88	100	0	0	0	0	0	0	0	95	0	74	100	55	100	100	0	0	97	100	0	0	0	0	91	0	0	0	0	0	0	0	0	0	99	98	100	0	100	0	90	100	100	0	71	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	99	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	74	85	0	0	0	0	0	0	0	0	0	0	0	0	0
Vampyroteuthis_infernalis	0	64	0	0	0	0	0	0	0	0	0	0	37	0	0	0	23	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	66	0	0	46	0	0	95	0	100	0	0	0	0	100	0	0	100	100	0	0	0	0	0	0	69	0	0	0	0	0	83	0	0	0	0	0	89	100	82	0	0	0	0	0	0	100	0	100	59	100	0	0	0	0	100	100	0	0	97	88	0	100	100	0	100	0	0	0	0	0	55	0	0	0	88	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	65	0	0	85	98	0	0	0	0	0	0	60	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0
Grimpoteuthis_glacialis	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	0	100	100	0	100	100	0	98	100	100	100	100	100	100	100	83	99	100	100	100	0	100	100	100	100	100	0	99	100	99	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	0	100	100	100	100	100	0	100	100	0	97	0	100	100	0	100	98	100	0	0	100	100	100	100	0	0	100	100	100	100	0	85	73	100	100	100	100	100	100	100	98	100	100	100	0	100	0	100	100	100	100	100	100	100	100	100	100	0	100	100	100	0	100	100
Pareledone_albimaculata	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	99	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	84	100	100	0	0	100	100	100	100	100	100	100	100	100	100	100	100	0	84	97	100	100	98	100	99	100	0	100	0	100	100	100	100	100	100	100	100	98	100	100	100	99	100	100	99	100	0	100	100	100	100	100	97	100	100	100	100	0	100	100	0	100	0	100	0	0	100	100	100	100	0	100	100	100	97	100	0	100	72	0	99	100	100	100	100	0	98	0	100	100	0	100	0	100	100	100	100	100	100	100	100	100	0	0	100	100	100	100	100	100
Bathypolypus_arcticus	100	100	100	100	100	100	100	0	100	100	25	100	100	100	0	60	100	100	0	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	81	100	0	0	100	100	87	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	0	100	99	100	100	100	100	100	100	100	100	100	100	98	100	100	100	99	100	100	99	100	0	100	100	0	0	100	0	100	100	100	97	0	100	100	0	0	98	100	0	0	100	100	100	100	0	100	100	100	100	100	99	100	0	100	100	100	100	100	100	0	99	100	0	97	85	100	0	100	100	100	0	100	100	100	100	100	0	0	100	100	100	100	100	100
Octopus_vulgaris	25	29	30	35	57	19	47	0	27	34	0	12	26	60	0	22	29	0	82	36	34	54	0	43	0	48	30	31	41	0	88	44	41	54	0	62	29	83	53	58	50	42	50	14	31	45	73	50	60	0	64	56	80	0	36	49	53	53	61	80	0	76	67	36	55	41	68	80	40	81	69	0	0	48	83	45	99	55	50	68	84	83	76	65	48	57	75	23	65	100	0	0	100	0	0	0	63	42	31	40	42	0	54	58	28	53	29	58	30	100	31	38	47	43	0	60	98	100	100	53	52	34	39	100	100	100	100	85	92	90	0	100	44	53	48	35	54	39	0	55	23	94	0	100	99	41	0	37	0	38	100	38	18	57	64	38	0	0	84	26	0	43	46	41	59	0	0	56	34	100	94	69	53	21	81	78	0	25
Octopus_cyanea	0	57	0	0	1	0	0	0	0	0	0	0	100	100	0	0	0	0	100	0	0	93	0	62	0	0	0	0	0	0	85	0	32	0	0	0	0	0	0	0	0	0	0	0	0	52	100	100	75	100	97	47	0	0	89	98	100	94	99	0	69	72	84	72	0	79	81	100	100	0	0	0	0	73	98	86	91	100	0	100	98	75	95	0	0	100	67	100	0	0	0	64	0	100	73	100	0	0	100	100	0	100	52	100	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	89	0	100	52	0	79	100	93	100	0	73	39	0	0	54	0	50	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
Abdopus_aculeatus	21	0	0	0	0	0	0	0	0	0	0	7	31	89	0	0	35	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	100	100	75	100	87	93	100	0	97	0	86	100	59	95	0	100	100	61	42	80	100	0	100	81	62	0	0	97	85	100	96	80	0	100	100	94	100	94	0	100	100	100	100	98	100	0	100	73	0	98	100	69	100	97	0	100	95	75	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	100	55	0	0	0	54	100	58	0	56	92	62	86	0	60	0	0	69	0	0	0	0	0	39	0	49	0	0	87	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
Hapalochaena_maculosa	0	0	30	0	0	0	0	0	0	8	0	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	96	58	100	0	0	0	58	0	0	100	0	94	0	0	0	0	0	88	38	0	0	0	0	0	0	22	0	0	66	75	0	72	92	100	0	0	0	0	0	0	0	90	0	0	0	98	0	0	0	0	0	0	0	21	79	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	65	44	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0
Sepia_esculenta	100	100	100	70	100	100	60	0	100	94	100	100	100	100	100	100	100	100	100	100	62	100	100	100	100	100	69	98	100	60	100	100	100	100	100	100	100	100	100	100	100	100	95	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	86	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	74	69	100	67	59	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	64	100	100	100	100	72	100	100	99	100	73	100	100	100	100	100	100	89	100	100	100	80	100	100	0	100	100	100	100	100	98	100	100	100	88	100	100	100	100	100	100	100
Sepia_officinalis	0	27	0	0	0	0	0	0	0	0	55	0	29	0	0	31	0	34	100	0	0	100	0	59	0	0	0	0	27	84	0	0	0	0	36	0	0	69	0	0	0	0	100	0	59	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	46	0	57	0	0	0	0	0	0	0	0	0	27	87	0	0	0	0	0	0	0	0	0	88	0	64	0	0	0	42	62	48	24	85	100	80	41	0	0	0	0	100	0	100	90	0	0	0	0	89	41	0	0	0	0	0	0	33	100	0	55	27	0	0	39	0	100	0	0	0	74	100	0	0	48	0	0	77	81	0	0	87	0	0	0	0	95	84	91	100	0	0	100	0	0	82	100	67	100	100	100	84	0
Idiosepius_paradoxus	0	100	31	71	38	0	0	0	55	0	0	100	71	92	0	100	87	0	100	26	0	0	0	97	0	0	0	0	32	0	96	68	0	0	0	0	0	0	0	0	0	100	75	0	38	97	0	0	0	0	0	0	100	96	0	100	97	0	98	78	90	0	0	100	0	100	0	0	0	0	0	0	0	0	99	0	0	96	99	99	0	0	100	0	95	100	77	100	100	88	93	47	0	0	0	78	0	97	96	0	0	0	95	0	0	47	0	89	42	100	0	78	100	0	0	0	0	100	87	65	0	0	0	0	0	98	86	100	51	100	0	0	100	84	0	84	90	0	0	100	0	0	98	0	0	0	0	0	0	100	97	0	0	0	100	0	0	0	0	0	0	0	89	0	100	0	0	0	81	100	0	0	0	0	40	100	100	85
Euprymna_scolopes	78	44	90	86	24	38	33	0	44	70	34	83	93	100	24	2	100	18	100	47	84	95	0	100	58	54	0	57	48	100	44	100	82	94	100	100	0	100	89	100	100	100	91	100	59	100	31	79	0	0	0	0	100	100	0	100	100	0	100	100	100	100	0	100	43	100	100	0	0	100	100	0	100	0	100	100	100	96	96	99	100	100	100	0	95	93	100	99	100	100	99	100	99	100	100	100	93	100	97	100	60	42	100	100	38	90	50	45	64	100	72	87	100	97	0	84	100	100	100	100	100	96	96	100	100	100	0	100	100	79	87	0	100	100	48	100	57	100	100	100	100	100	87	96	99	47	0	62	100	100	100	100	100	0	100	77	100	100	100	100	0	89	73	43	79	45	100	100	92	0	100	100	86	100	85	64	100	84
Dosidicus_gigas	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	0	100	100	0	0	100	100	99	100	100	0	0	0	99	0	100	100	100	100	100	100	100	100	100	0	100	100	0	100	100	100	0	0	100	100	100	99	100	0	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	0	100	100	100	0	100	0	100	100	100	100	0	98	100	0	100	0	0	66	100	100	100	100	100	100	100	100	100	100	100	0	100	72	100	100	100	100	100	100	0	0	100	100	100	0	100	0	100	100	100	100	100	100	100	100	100	86	100	100	100	100	100	100	100
Sthenoteuthis_oualaniensis	100	100	100	95	83	89	100	0	100	46	100	100	100	100	80	100	100	100	0	50	100	100	100	0	100	100	100	100	51	100	50	100	100	100	100	100	100	100	80	100	100	75	100	100	44	100	0	100	0	0	0	0	0	100	0	100	100	0	0	100	100	0	0	100	100	0	0	0	0	0	100	0	0	0	0	100	100	0	100	100	100	0	100	0	100	100	100	0	100	0	100	100	100	100	100	100	0	100	0	100	0	0	100	100	100	100	98	93	100	0	100	100	0	100	0	100	46	100	0	100	0	100	100	100	80	0	75	100	0	100	100	0	39	100	100	100	100	100	100	100	100	69	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	87	0	100	100	100	45	100	0	100	100	0	100	100	100	100	0	100	100	100
Architeuthis_dux	59	0	100	0	94	40	0	0	100	0	87	13	71	53	100	0	95	100	0	50	87	61	90	39	0	98	46	43	42	100	60	96	76	51	100	60	62	86	99	100	45	65	0	0	100	99	77	100	75	0	0	0	100	76	66	84	35	100	100	100	90	81	43	70	88	98	100	47	0	81	100	0	0	84	100	96	100	86	0	100	98	67	100	54	100	0	0	46	69	54	0	100	94	51	86	42	0	100	86	100	47	0	89	100	75	100	85	0	47	0	30	81	0	71	0	0	100	46	44	36	0	100	100	0	100	26	0	83	46	100	0	0	62	0	68	100	49	0	96	72	44	100	71	0	87	16	0	94	0	14	85	95	0	0	45	100	0	0	0	70	0	95	98	100	0	56	0	46	100	100	0	100	41	91	0	30	62	61
Onychoteuthis_banksi	100	100	100	100	100	100	100	0	100	100	100	100	100	100	0	100	100	100	100	100	100	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	0	0	0	100	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	100	100	100	0	0	0	99	0	100	0	100	0	0	100	0	100	100	100	0	100	100	100	100	59	100	100	100	100	100	0	100	100	100	100	0	0	100	0	0	0	0	0	79	100	100	100	0	0	100	100	100	97	100	0	100	0	100	100	100	0	100	100	0	100	100	100	100	100	0	0	100	100	100	100	100	100	100	100	100	0	0	100	100	100	100	0	100
Chiroteuthis_calyx	100	67	0	0	0	44	0	0	0	0	0	0	0	100	0	92	0	0	0	0	100	0	0	64	0	47	0	0	0	0	0	0	0	99	0	0	0	55	0	94	0	0	0	0	0	59	100	100	0	0	0	0	73	100	0	100	0	0	100	100	0	100	0	100	100	100	0	0	0	0	100	0	0	0	100	71	0	54	0	100	72	100	100	0	100	99	100	68	0	0	94	0	0	0	100	0	0	53	100	100	0	100	100	100	43	0	100	0	41	0	50	0	67	0	0	0	0	100	0	68	0	0	0	0	58	0	0	0	50	100	0	0	54	84	0	86	86	100	100	100	0	80	100	0	0	100	0	0	0	37	0	69	100	100	100	0	0	69	0	100	0	55	48	67	100	87	0	59	0	0	100	100	58	0	0	99	99	0
Galiteuthis_armata	0	100	0	0	0	58	0	0	0	0	0	0	78	100	0	0	0	8	0	0	49	0	0	100	0	0	0	0	0	0	0	0	0	0	46	0	0	64	0	95	0	0	0	0	0	0	100	96	0	0	0	0	83	100	0	0	100	0	100	100	0	100	0	100	100	0	0	0	0	0	0	0	0	0	100	100	100	76	0	0	100	0	100	0	0	100	0	0	100	0	0	100	100	0	0	0	0	93	51	100	0	100	85	100	0	0	0	0	79	68	0	0	0	0	0	0	0	0	0	49	0	0	0	0	69	0	0	0	58	0	0	0	0	50	0	42	65	0	100	85	0	100	0	0	0	0	0	0	0	42	0	0	100	0	100	0	0	0	0	96	0	0	0	63	0	0	0	0	0	0	0	100	0	0	0	76	60	100
