Species	1-136	137-301	302-519	520-1015	1016-1519	1520-2018	2019-2497	2498-3020	3021-3533	3534-4039	4040-4490	4491-4991	4992-5499	5500-5911	5912-6688	6689-6807	6808-7032	7033-7241	7242-7824	7825-8393	8394-9023	9024-9140	9141-9299	9300-9736	9737-10120	10121-10483	10484-10601	10602-10724	10725-10959	10960-11342	11343-11746	11747-12131	12132-12524	12525-12935	12936-13667	13668-14022	14023-14234	14235-14469	14470-14680	14681-14898	14899-15106	15107-15327	15328-15558	15559-15740	15741-15943	15944-16139	16140-16373	16374-16574	16575-16773	16774-16955	16956-17168	17169-17337	17338-17500	17501-17676	17677-17784	17785-17988	17989-18161	18162-18316	18317-18481	18482-18661	18662-18909	18910-19065	19066-19219	19220-19306	19307-19435	19436-19552	19553-19679	19680-19798	19799-19919	19920-20054	20055-20425	20426-20530	20531-20638	20639-20767	20768-20871	20872-20975	20976-21094	21095-21175	21176-21260	21261-21323	21324-21374	21375-21477	21478-21566	21567-21863	21864-22111	22112-22251	22252-22455	22456-22622	22623-22892	22893-23123	23124-23214	23215-23349	23350-23500	23501-23634	23635-23772	23773-23909	23910-24016	24017-24168	24169-24298	24299-24512	24513-24617	24618-24746	24747-24889	24890-25007	25008-25086	25087-25186	25187-25268	25269-25326	25327-25386	25387-25441	25442-25654	25655-25907	25908-26095	26096-26308	26309-26477	26478-26662	26663-26833	26834-27244	27245-27448	27449-27815	27816-28114	28115-28404	28405-28646	28647-28790	28791-29347	29348-29821	29822-30016	30017-30257
Batrachochytrium_dendrobatidis	91	97	89	100	100	89	98	100	100	97	93	96	100	100	97	91	100	96	100	98	98	100	94	97	91	95	100	100	100	97	99	88	100	92	95	100	100	100	84	100	76	97	81	100	80	80	100	86	90	99	100	95	76	97	100	100	100	86	100	86	92	100	99	100	97	100	97	78	96	100	100	33	67	76	93	59	95	87	95	93	0	94	100	100	91	99	100	97	96	100	100	83	100	96	82	100	93	100	100	100	99	100	99	100	100	99	98	100	0	0	98	99	95	100	100	100	100	100	90	90	92	100	66	75	97	99	99	37
Spizellomyces_punctatus	91	97	77	97	100	96	100	91	95	100	98	100	100	95	100	100	95	100	100	98	100	85	100	100	96	100	100	96	100	94	93	99	99	100	100	100	99	83	100	100	100	100	91	100	98	74	86	83	80	85	100	100	75	99	100	100	100	100	100	100	100	100	100	100	100	100	85	100	100	100	100	100	100	95	99	100	100	100	100	54	99	100	100	100	99	98	100	100	99	100	100	100	100	100	100	100	100	100	100	99	99	100	100	100	100	100	99	100	100	62	100	97	100	100	100	100	100	54	100	83	92	100	69	100	98	98	29	61
Allomyces_macrogynus	98	100	54	100	98	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	93	100	100	100	100	100	93	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	98	100	100	100	100	100	99	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	96	99	100	100	100	100	100	100	100	100	99	100	92	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	99	100	100	100	87	100	100	0	100
Phycomyces_blakesleeanus	95	99	95	100	100	100	100	100	100	100	99	100	100	99	100	100	100	100	100	100	100	95	94	100	99	100	97	100	100	99	100	100	100	100	100	100	85	100	100	100	100	85	100	100	93	100	73	98	100	100	100	100	100	100	100	100	100	100	100	100	100	99	99	100	100	100	100	100	99	100	99	99	94	94	95	100	100	84	98	99	0	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	99	98	100	100	0	98	94	99	100	100	100	100	99	99	99	100	98	100	100	100	100	0	77
Rhizopus_oryzae	96	99	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	94	100	100	100	100	100	100	100	100	100	98	100	100	89	100	100	97	100	100	100	100	100	93	94	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96	100	100	99	100	94	95	100	98	100	100	99	100	100	100	100	100	99	100	100	98	97	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	99	98	100	100	100	100	100	99	100	100	100	100	100	100	99	100	100	31	100	100	100	98	100
Capsaspora_owczarzaki	98	100	100	80	95	100	95	100	98	100	98	100	89	95	100	100	92	99	100	100	100	100	95	100	85	100	100	100	100	100	100	93	64	100	99	100	71	100	100	100	100	100	100	100	100	79	86	86	90	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	72	100	100	100	99	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	99	100	100	100	100	100	100	98	100	100	92	93	100	85	100	100	100	97	100
Amoebidium_parasiticum	0	0	0	39	0	0	30	0	0	0	0	0	0	0	50	0	0	98	29	0	0	100	51	0	56	0	0	0	0	0	18	0	73	0	20	0	45	0	22	0	0	79	94	76	0	0	0	0	44	0	63	99	100	56	100	92	42	0	0	0	38	71	0	100	100	0	0	100	100	100	99	100	68	97	100	0	0	89	99	0	100	100	99	95	24	0	34	100	0	96	0	88	91	100	100	100	0	100	64	83	99	99	100	100	98	85	0	97	100	100	0	79	76	99	75	96	48	77	100	36	0	0	0	0	0	0	0	100
Sphaeroforma_arctica	0	100	77	100	0	34	63	48	0	36	0	36	78	0	44	100	100	99	53	56	86	0	100	36	0	40	100	92	100	0	70	56	0	0	83	100	89	100	0	81	100	0	94	100	100	0	0	40	100	98	100	99	100	94	99	100	100	100	100	100	99	100	95	100	100	100	100	100	100	100	99	100	100	98	100	100	100	100	99	96	100	100	99	100	100	100	100	100	97	96	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	97	100	100	100	100	100	100	100	100	100	100	100	95	100	0	79	69	89	98	53	100	96	100
Monosiga_ovata	100	100	95	100	100	100	100	100	100	100	100	100	100	56	100	100	100	100	100	100	100	93	100	55	88	100	100	100	100	100	100	100	100	100	100	100	95	77	95	92	100	0	100	100	100	88	95	0	100	100	100	100	100	96	100	100	100	100	100	100	100	100	99	100	100	100	0	100	99	100	100	100	98	100	99	100	97	100	100	0	0	100	98	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	99	100	100	99	99	100	100	100	55	100	100	98	99
Monosiga_brevicollis	100	100	95	100	100	100	100	94	91	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	96	90	82	100	100	97	95	100	100	100	93	100	98	100	100	100	100	100	99	100	100	99	100	100	100	95	100	100	97	100	100	99	100	100	100	97	100	99	99	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	94	100	100	100	100	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	99
