Species	1-238	239-857	858-1000	1001-1165	1166-1325	1326-1848	1849-1981	1982-2141	2142-2368	2369-2665	2666-2832	2833-2973	2974-3076	3077-3349	3350-3678	3679-4049	4050-4327	4328-4536	4537-4695	4696-5000	5001-5371	5372-5788	5789-6229	6230-6538	6539-6797	6798-7043	7044-7364	7365-7567	7568-7703	7704-7825	7826-8240	8241-8484	8485-8766	8767-9018	9019-9187
Petromy_ma	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2
Danio_reri	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Saccogl_ko	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Branchi_fl	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Ixodes_sca	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0
Nasonia_vi	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Daphnia_pu	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Crassos_gi	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	0	2	2	0	2	2	2	2
Aplysia_ca	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	0	0	2	2	2
Capitel_sp	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Tubifex_tu	2	1	2	2	2	1	2	1	2	0	0	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	0	2	0	0	2
Helobde_ro	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
